Date,Contributions,Validation
2023-01-01,5,True
2023-01-08,1,True
2023-01-15,1,True
2023-01-22,4,True
2023-01-29,0,True
2023-02-05,0,True
2023-02-12,3,True
2023-02-19,0,True
2023-02-26,1,True
2023-03-05,1,True
2023-03-12,2,True
2023-03-19,3,True
2023-03-26,0,True
2023-04-02,2,True
2023-04-09,0,True
2023-04-16,1,True
2023-04-23,0,True
2023-04-30,5,True
2023-05-07,3,True
2023-05-14,3,True
2023-05-21,0,True
2023-05-28,1,True
2023-06-04,1,True
2023-06-11,0,True
2023-06-18,3,True
2023-06-25,0,True
2023-07-02,4,True
2023-07-09,2,True
2023-07-16,4,True
2023-07-23,4,True
2023-07-30,0,True
2023-08-06,4,True
2023-08-13,0,True
2023-08-20,2,True
2023-08-27,0,True
2023-09-03,0,True
2023-09-10,0,True
2023-09-17,0,True
2023-09-24,2,True
2023-10-01,1,True
2023-10-08,3,True
2023-10-15,1,True
2023-10-22,2,True
2023-10-29,2,True
2023-11-05,0,True
2023-11-12,0,True
2023-11-19,0,True
2023-11-26,0,True
2023-12-03,2,True
2023-12-10,3,True
2023-12-17,1,True
2023-12-24,3,True
2023-12-31,3,True
2023-01-02,3,True
2023-01-09,1,True
2023-01-16,1,True
2023-01-23,0,True
2023-01-30,4,True
2023-02-06,0,True
2023-02-13,6,True
2023-02-20,1,True
2023-02-27,3,True
2023-03-06,3,True
2023-03-13,0,True
2023-03-20,1,True
2023-03-27,0,True
2023-04-03,1,True
2023-04-10,0,True
2023-04-17,2,True
2023-04-24,1,True
2023-05-01,0,True
2023-05-08,2,True
2023-05-15,1,True
2023-05-22,0,True
2023-05-29,1,True
2023-06-05,1,True
2023-06-12,4,True
2023-06-19,5,True
2023-06-26,4,True
2023-07-03,6,True
2023-07-10,1,True
2023-07-17,2,True
2023-07-24,0,True
2023-07-31,0,True
2023-08-07,4,True
2023-08-14,0,True
2023-08-21,2,True
2023-08-28,0,True
2023-09-04,1,True
2023-09-11,0,True
2023-09-18,1,True
2023-09-25,0,True
2023-10-02,0,True
2023-10-09,1,True
2023-10-16,2,True
2023-10-23,5,True
2023-10-30,0,True
2023-11-06,0,True
2023-11-13,0,True
2023-11-20,0,True
2023-11-27,0,True
2023-12-04,0,True
2023-12-11,6,True
2023-12-18,3,True
2023-12-25,6,True
2023-01-03,3,True
